Part,QTY,TRY_Total,USD_Total,Link
Rotary Encoder E6B2-CWZ6C 1000 Pulse,1,937.64,20.01,https://www.direnc.net/rotary-encoder-e6b2-cwz6c-1000-pulse
Arduino Leonardo R3 Klon,1,369.35,7.88,https://www.voltaj.net/arduino-leonardo-r3-klon-usb-kablo-pmu1486
12V 30A Power Supply,1,919.00,19.61,https://www.robolinkmarket.com/12v-30a-metal-kasa-adaptor
14 AWG Silicone Cable (black),1,93.00,1.98,https://www.robolinkmarket.com/14-awg-silikon-kablo-1-metre-siyah
14 AWG Silicone Cable (red),1,93.00,1.98,https://www.robolinkmarket.com/14-awg-silikon-kablo-1-metre-kirmizi
GT2 Closed-End Belt - 280mm (Buy 240mm if found),1,72.54,1.55,https://www.robo90.com/gt2-6mm-kapali-zamanlama-kayisi-280mm-uzunluk
BTS7960B 40-Amp Motor Driver Board,1,259.05,5.53,https://www.voltaj.net/43a-5-27v-cift-bts7960b-h-kopru-yuksek-guc-motor-surucu-modulu-pmu1135
20-Tooth GT2-6mm Pulley - 5mm Shaft Diameter,1,39.00,0.83,https://www.robolinkmarket.com/20-dis-gt2-6mm-kasnak-5mm-saft-capi
GT2 6mm Toothless Pulley with Bearings - 5mm Shaft Diameter,1,71.40,1.52,https://www.robolinkmarket.com/gt2-6mm-dissiz-rulmanli-5mm-kasnak-siyah
KP000 Bearing (10 mm) - P000,2,186.00,3.97,https://www.robolinkmarket.com/kp000-rulman-10mm
RS 775 DC Motor - 12V - 3000 RPM - Drill Motor,1,334.80,7.14,https://www.robo90.com/rs-775-dc-motor-12v-3000-rpm-matkap-motoru
10mm Chrome-Plated Induction Shaft - 300mm,1,223.20,4.76,https://www.robo90.com/10mm-krom-kapli-induksiyonlu-mil-300mm
Insert Nut M5,20,89.24,1.90,https://www.rhino3dprinter.com/urun/insert-somun-m5
M6 Locknut,4,3.28,0.07,https://www.hirdavatim.com.tr/urun/fiberli-somun-celik-m5-m39-m5
M5 Locknut,6,3.90,0.08,https://www.hirdavatim.com.tr/urun/fiberli-somun-celik-m5-m39-m5
M3 Hex Nut,2,0.64,0.01,https://www.hirdavatim.com.tr/urun/metrik-normal-celik-somun-m3-m48-m5
M12 Hex Nut,2,5.54,0.12,https://www.hirdavatim.com.tr/urun/metrik-normal-celik-somun-m3-m48-m5
M5 Hex Nut,2,0.84,0.02,https://www.hirdavatim.com.tr/urun/metrik-normal-celik-somun-m3-m48-m5
M6 40mm Allen Screw,4,7.44,0.16,https://www.hirdavatim.com.tr/urun/m6-imbus-civatalar-8-8-kalite-m6-40-mm
M3 20mm Allen Screw,2,,,
M5 30mm Allen Screw,3,4.32,0.09,https://www.hirdavatim.com.tr/urun/m6-imbus-civatalar-8-8-kalite-m6-40-mm
M12 50mm Hex Head Screw,2,16.98,0.36,https://www.hirdavatim.com.tr/urun/m12-anahtar-basli-celik-civatalar-8-8-kalite-m12x50-mm
M5 12mm Allen Screw,1,1.32,0.03,https://www.hirdavatim.com.tr/urun/m6-imbus-civatalar-8-8-kalite-m6-40-mm
M5 20mm Allen Screw,1,1.41,0.03,https://www.hirdavatim.com.tr/urun/m6-imbus-civatalar-8-8-kalite-m6-40-mm
3.5X50mm Wood Screw (Pack of 20 - Min order),6,150.00,3.20,https://www.hepsiburada.com/meridyen-3-5x18-mm-sunta-vidasi-50-adet-p-HBV00000JIT71
3.20mmX18.5,8,,,
M5 Washer,14,1.40,0.03,https://www.hirdavatim.com.tr/urun/metrik-demir-pul-cesitleri-05-mm
M6 Washer,4,0.72,0.02,https://www.hirdavatim.com.tr/urun/metrik-demir-pul-cesitleri-05-mm
